,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
129,186.0,353.731,11.873,359.7,208.814,29.011,135.8,13.15,174.0,356.565,11.838,356.69,205.766,28.417,131.0,12.92,0.62932209346824,0.5832223775950274
130,187.0,34.992,57.413,329.66,242.059,23.298,9.76,3.53,172.0,35.067,57.779,329.37,238.856,23.186,9.12,3.41,0.4476266491824196,0.37143723378695626
131,188.0,195.381,50.814,139.85,32.204,27.718,76.8,9.89,124.0,193.6,44.528,145.97,36.326,17.621,69.28,9.39,8.087702576707485,6.421938725272787
132,189.0,200.85,43.56,186.27,39.95,30.397,133.6,13.04,175.0,200.324,43.155,186.95,36.816,29.202,133.0,13.01,0.6188444125796694,0.5426168173051495
133,190.0,3.757,8.51,332.69,232.101,28.756,112.5,11.97,179.0,7.131,8.645,329.17,229.095,28.375,109.9,11.83,0.5523777197532959,0.5209322590599567
134,191.0,95.383,45.411,235.85,306.856,30.163,238.9,17.44,181.0,95.232,45.903,236.01,303.899,30.003,231.4,17.16,0.5066470373485856,0.5037118735848327
135,194.0,213.63,44.778,175.09,217.737,24.822,17.76,4.76,182.0,213.159,44.385,175.58,214.577,24.497,17.76,4.76,0.5363070629863927,0.513563162099773
136,196.0,286.146,33.735,63.63,8.901,27.645,28.48,6.02,164.0,295.382,32.37,48.34,1.787,23.411,31.52,6.34,9.167849534390037,5.214416058421026
137,198.0,205.875,58.859,130.82,82.291,24.218,5.28,2.59,178.0,205.614,58.389,131.45,79.097,23.2,4.96,2.51,0.7174230121420766,0.5201482914776497
138,199.0,38.218,60.725,300.79,247.263,25.976,26.4,5.8,185.0,38.499,61.158,300.31,244.244,25.751,26.24,5.78,0.6048345160241121,0.49781721763229636
139,201.0,247.51,34.65,113.4,227.035,24.729,8.16,3.22,184.0,247.319,34.037,113.59,224.098,24.283,6.56,2.89,0.6232350012950638,0.6223977268441201
140,202.0,229.054,58.695,157.04,148.672,30.476,106.9,11.67,183.0,228.872,58.174,157.43,145.555,29.691,103.7,11.49,0.6183454975881457,0.5435879619501475
141,203.0,227.982,62.436,138.25,242.019,25.79,10.08,3.58,186.0,227.872,61.575,138.44,239.026,25.458,9.92,3.55,0.8774391895176737,0.8664610500562309
142,205.0,245.6,50.295,112.58,79.903,31.253,101.3,11.36,187.0,245.304,49.711,112.9,76.778,30.214,98.08,11.17,0.6397715279600432,0.6264776649181595
143,206.0,298.482,70.455,75.75,223.899,29.548,57.44,8.55,189.0,298.277,70.077,75.38,220.816,28.928,56.48,8.48,0.6107621533395111,0.42440255898200724
144,207.0,247.376,72.436,93.9,266.238,32.792,116.2,12.16,193.0,247.398,71.936,94.01,263.363,32.61,113.9,12.04,0.5138721786161079,0.5004385055817547
145,208.0,295.598,89.921,64.22,216.427,30.644,45.92,7.65,196.0,295.386,89.46,63.86,213.306,30.24,43.52,7.44,0.6228069031154213,0.5074085593429895
146,209.0,227.542,59.715,134.08,23.495,27.221,3.04,1.97,190.0,227.276,59.453,134.36,20.325,25.975,2.56,1.81,0.37733924352805087,0.3482298633286482
147,212.0,80.918,46.939,280.68,179.719,35.21,152.6,13.94,138.0,78.617,55.712,279.87,186.661,28.305,280.8,18.91,9.232345002911831,8.953993566222005
148,213.0,236.754,65.282,102.74,242.119,36.203,249.9,17.84,197.0,236.851,64.769,102.83,239.229,35.725,242.1,17.56,0.5367026900542232,0.520481138343911
149,216.0,231.006,28.862,114.7,23.315,33.437,88.96,10.64,191.0,230.457,28.286,115.29,20.18,32.077,87.84,10.58,0.6421471253722367,0.6330237035538427
150,217.0,245.538,68.019,141.73,51.221,33.286,133.0,13.01,194.0,245.537,67.496,141.95,48.124,32.047,129.9,12.86,0.5672416691883443,0.5230008190309657
151,219.0,263.266,88.857,87.77,157.473,32.253,77.92,9.96,201.0,263.226,88.301,87.83,154.321,31.443,76.32,9.86,0.560550555584033,0.5574360981102141
152,221.0,86.259,67.261,254.55,315.913,31.733,9.6,3.5,213.0,86.068,67.828,254.61,312.633,32.133,3.84,2.21,0.5939823052674573,0.5938409819631346
153,225.0,67.539,80.64,265.35,92.108,32.769,35.04,6.68,200.0,67.501,81.154,265.2,89.047,31.757,35.04,6.68,0.5384639598116308,0.5153676804298566
154,226.0,253.417,52.356,94.92,252.268,32.778,40.8,7.21,205.0,253.409,51.901,94.97,249.346,32.458,38.72,7.02,0.4572722068268002,0.45504382218134637
155,227.0,277.873,75.399,67.88,4.834,34.487,97.12,11.12,203.0,277.862,74.948,67.66,3.107,33.417,67.68,9.28,0.5031503494558397,0.4511253440788989
156,228.0,135.159,71.77,253.09,17.519,30.058,11.04,3.75,202.0,134.808,71.904,253.58,14.758,28.885,10.56,3.67,0.5234789479095951,0.35942374764939666
157,230.0,266.624,26.523,86.02,86.557,37.403,125.1,12.62,204.0,266.622,25.892,85.94,83.555,36.251,123.7,12.55,0.6362798448046898,0.6310006180809627
158,231.0,219.586,50.363,167.9,109.616,34.387,56.0,8.44,209.0,219.233,49.896,168.39,106.506,33.327,53.76,8.27,0.6008564779255049,0.539896714015643
159,233.0,295.359,22.325,58.41,71.071,35.327,44.8,7.55,207.0,295.79,21.799,57.86,67.875,34.116,43.04,7.4,0.5705667368448292,0.5503453453912949
160,234.0,228.067,48.5,120.43,292.589,37.078,151.2,13.87,215.0,227.857,48.185,120.8,289.727,36.731,148.2,13.73,0.4206347881095359,0.35191140221378703
161,235.0,240.09,46.706,148.63,62.525,35.429,106.1,11.62,210.0,239.859,46.253,148.88,59.408,34.167,104.8,11.55,0.49146131105492374,0.4829764212820712
162,236.0,331.105,32.677,8.95,135.515,39.108,234.4,17.28,212.0,331.839,32.356,8.02,132.454,38.017,230.4,17.13,0.5962113388277327,0.5086360623014022
163,237.0,242.921,28.142,89.67,274.943,34.84,39.84,7.12,221.0,242.365,27.716,90.21,272.05,34.65,36.8,6.85,0.5016634419635404,0.49928878366414947
164,238.0,265.024,88.722,79.98,13.21,36.04,53.44,8.25,216.0,264.968,88.193,79.87,10.052,34.522,50.72,8.04,0.543514974318013,0.5319536684096358
